koi_depth,koi_duration,koi_impact,koi_model_snr,koi_max_mult_ev,koi_srad,koi_smass,koi_steff,koi_bin_oedp_sig,koi_disposition
128.4,38.1939,0.968,91.7,13.385618,3.482,1.671,6980.0,0.6774,0
4511.7,1.8248,0.994,322.3,471.55078,1.132,0.998,6224.0,0.0204,0
747.5,2.1441,1.226,116.1,17.779419,0.846,0.819,5582.0,1.0,0
598.2,4.0541,1.258,140.6,51.95045,0.902,0.887,5758.0,0.8032,0
113.8,9.083,1.228,24.3,18.304235,0.901,0.954,5948.0,0.223,0
433.2,2.0911,2.641,62.3,318.7812,2.234,1.828,8090.0,0.1758,0
3487.5,11.1899,0.652,235.7,153.20587,1.235,1.092,5873.0,0.7142,1
321.5,0.8774,0.216,19.6,13.76514,0.711,0.815,4768.0,0.986,0
248.0,2.924,0.708,22.2,18.79983,4.434,1.657,5772.0,0.4949,0
443.3,3.6379,0.097,37.5,32.02532,1.176,1.14,6049.0,0.9057,1
178.5,4.158,0.533,10.9,9.3422165,1.176,1.14,6049.0,0.863,1
250.2,4.32,1.169,37.5,13.277703,0.848,0.938,5901.0,0.9936,0
640.9,3.9835,0.806,41.0,33.45524,4.885,1.808,4941.0,0.7512,1
186.2,4.256,0.736,136.3,11.509193,2.188,1.233,6215.0,0.9994,0
118.6,3.442,0.715,27.0,23.055124,1.015,0.975,6253.0,0.1502,0
145.1,13.566,0.283,25.5,12.997601,1.487,1.016,5676.0,0.4323,1
110.4,11.284,0.238,23.6,13.00088,1.487,1.016,5676.0,0.2031,1
30222.0,1.82542,0.337,1252.5,1466.5692,0.503,0.534,3807.0,0.043,1
372.2,4.3045,0.042,267.4,182.40976,4.24,2.018,7221.0,0.8905,1
4399.1,5.9957,0.766,270.1,746.497,1.033,0.938,6013.0,0.0168,0
68.9,3.5599,0.893,53.6,47.588837,1.733,1.162,6202.0,0.3936,1
26900.0,6.7507,1.197,184.3,536.976,1.717,1.62,7240.0,0.3659,0
570.6,3.158,1.213,35.6,30.408123,0.561,0.582,3995.0,0.2107,0
